% COMP47490 2018 - Assignment 1 Q1
% Dataset marketing for student ID number 15464068
@relation marketing-15464068

@attribute age numeric
@attribute job {education,tech,entrepreneur,retail,management,retired,self-employed,services,student,construction,unemployed,unknown}
@attribute status {divorced,married,single}
@attribute education {primary,secondary,tertiary,unknown}
@attribute has_defaulted {no,yes}
@attribute balance numeric
@attribute housing_loan {no,yes}
@attribute personal_loan {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_day numeric
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_contacts numeric
@attribute num_days numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}
@attribute class {yes,no}

@data
30,construction,single,secondary,no,-522,yes,yes,email,5,may,670,2,286,6,failure,no
32,tech,married,secondary,no,2,yes,no,email,15,may,16,9,309,1,failure,yes
27,services,single,secondary,no,201,yes,no,unknown,4,jun,172,2,-1,0,unknown,yes
30,management,married,tertiary,no,1221,yes,no,phone,25,jul,279,4,-1,0,unknown,no
37,student,married,unknown,no,0,no,no,unknown,18,jun,115,1,-1,0,unknown,yes
28,tech,single,secondary,no,417,no,yes,email,8,jul,681,1,-1,0,unknown,no
39,self-employed,married,tertiary,no,585,yes,no,email,18,nov,48,1,181,3,failure,yes
43,entrepreneur,married,secondary,no,104,yes,no,email,18,jul,635,3,-1,0,unknown,no
36,construction,married,tertiary,no,167,yes,no,email,28,jan,57,1,-1,0,unknown,yes
58,retired,divorced,unknown,no,5920,yes,no,email,23,jul,255,1,-1,0,unknown,yes
43,services,single,secondary,no,3403,yes,no,email,12,nov,707,2,97,2,success,no
55,entrepreneur,married,secondary,no,8104,no,no,email,6,feb,213,2,-1,0,unknown,yes
33,tech,married,secondary,no,26,yes,no,email,17,apr,342,3,332,1,other,yes
26,tech,single,secondary,no,179,no,no,email,30,jul,103,3,-1,0,unknown,yes
41,education,divorced,secondary,no,6046,yes,yes,phone,15,mar,300,6,182,2,success,no
43,tech,married,secondary,no,2160,no,no,email,8,sep,261,1,98,1,success,no
27,student,single,secondary,no,213,no,no,email,27,mar,378,1,-1,0,unknown,no
28,construction,single,tertiary,no,102,no,no,email,28,jan,321,2,-1,0,unknown,yes
42,tech,married,secondary,no,130,yes,no,unknown,29,may,285,1,-1,0,unknown,yes
53,retail,married,primary,no,2581,no,no,email,15,apr,99,1,-1,0,unknown,yes
34,construction,single,secondary,no,16,no,no,email,13,aug,990,1,-1,0,unknown,no
34,entrepreneur,married,tertiary,no,4343,no,no,unknown,9,jun,85,4,-1,0,unknown,yes
49,services,married,secondary,no,400,no,no,email,21,aug,151,3,-1,0,unknown,yes
45,construction,married,secondary,no,88,no,no,email,29,aug,150,2,-1,0,unknown,yes
35,construction,divorced,secondary,no,473,yes,yes,unknown,26,may,434,4,-1,0,unknown,yes
38,unemployed,single,tertiary,no,0,no,no,email,6,feb,39,2,-1,0,unknown,yes
30,construction,married,tertiary,no,569,no,no,email,27,aug,976,12,-1,0,unknown,no
58,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,700,1,-1,0,unknown,no
36,unemployed,married,secondary,no,-35,no,no,email,30,jan,339,3,-1,0,unknown,yes
48,education,married,secondary,no,112,no,no,email,18,aug,139,5,-1,0,unknown,yes
32,education,single,secondary,no,620,yes,no,unknown,26,may,1234,3,-1,0,unknown,no
33,tech,married,primary,no,-195,no,no,unknown,20,sep,9,1,-1,0,unknown,yes
35,management,divorced,tertiary,no,473,no,yes,email,5,aug,37,2,-1,0,unknown,yes
53,unknown,married,primary,no,732,no,no,email,27,oct,759,2,-1,0,unknown,no
47,self-employed,married,tertiary,no,2303,yes,no,email,6,may,323,2,364,1,failure,yes
36,management,married,tertiary,no,1582,no,no,phone,3,feb,26,2,197,1,failure,yes
31,management,married,tertiary,no,13,no,no,email,28,aug,110,5,-1,0,unknown,yes
75,retired,married,secondary,no,3771,no,no,phone,15,apr,185,1,181,2,success,no
34,education,single,secondary,no,10,no,yes,email,18,nov,162,1,173,3,failure,yes
40,services,single,secondary,no,888,yes,no,unknown,12,may,169,2,-1,0,unknown,yes
33,management,married,secondary,no,3132,yes,no,unknown,23,may,350,5,-1,0,unknown,yes
55,tech,married,primary,no,2275,no,no,email,25,aug,139,9,-1,0,unknown,yes
45,management,married,tertiary,no,242,no,no,email,30,apr,587,1,-1,0,unknown,no
33,construction,married,secondary,no,48,yes,no,phone,29,aug,47,2,-1,0,unknown,yes
34,management,single,tertiary,no,184,no,no,email,22,jul,203,4,-1,0,unknown,yes
31,management,single,tertiary,no,12569,no,no,email,9,sep,344,1,295,1,failure,no
53,management,married,tertiary,no,4,no,no,unknown,20,jun,19,6,-1,0,unknown,yes
37,construction,single,secondary,no,2442,no,no,email,16,feb,91,3,-1,0,unknown,no
41,education,married,secondary,no,5110,yes,no,email,13,apr,231,1,-1,0,unknown,yes
30,construction,single,tertiary,no,6619,yes,no,email,21,aug,239,8,-1,0,unknown,yes
37,tech,single,secondary,no,48,no,no,email,6,may,140,2,-1,0,unknown,yes
73,retired,married,unknown,no,519,no,no,phone,16,oct,434,1,57,1,failure,no
51,tech,married,secondary,no,397,yes,no,email,20,aug,293,2,-1,0,unknown,yes
27,education,married,secondary,no,710,yes,yes,email,6,may,653,1,334,2,success,no
27,student,single,tertiary,no,-148,yes,no,email,11,sep,146,3,224,1,other,yes
32,management,married,tertiary,no,4761,yes,no,email,5,may,159,2,350,2,failure,yes
55,management,divorced,tertiary,no,1598,no,no,email,22,aug,607,4,-1,0,unknown,yes
51,unemployed,married,tertiary,no,1634,yes,no,email,22,jul,168,4,-1,0,unknown,yes
45,construction,divorced,secondary,no,976,yes,no,email,17,apr,183,1,338,2,failure,yes
33,services,married,secondary,no,804,yes,yes,unknown,8,may,266,1,-1,0,unknown,yes
42,management,single,tertiary,no,10907,no,no,email,4,may,74,3,-1,0,unknown,yes
40,tech,married,secondary,no,1451,no,no,email,1,jun,314,1,-1,0,unknown,no
60,education,divorced,secondary,no,174,yes,no,email,15,may,241,1,364,1,failure,yes
31,management,married,tertiary,no,325,yes,no,email,18,jul,1139,2,-1,0,unknown,no
59,tech,married,secondary,no,5314,yes,no,email,5,may,200,3,-1,0,unknown,yes
36,tech,married,secondary,no,1049,yes,no,email,14,may,224,4,-1,0,unknown,no
36,management,married,tertiary,no,9,no,no,email,11,aug,386,4,-1,0,unknown,no
38,construction,single,tertiary,no,221,no,no,email,20,aug,79,3,-1,0,unknown,yes
35,management,married,tertiary,no,8,yes,no,unknown,23,may,55,4,-1,0,unknown,yes
43,management,married,tertiary,no,1429,yes,no,email,19,nov,1015,1,198,2,other,no
42,tech,married,unknown,no,-406,yes,no,email,30,jul,152,5,-1,0,unknown,yes
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,no
36,management,married,tertiary,no,-381,yes,no,email,31,jul,30,29,-1,0,unknown,yes
29,education,single,secondary,no,1070,yes,no,unknown,19,may,30,1,357,1,other,no
45,construction,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,no
42,tech,single,secondary,no,1080,yes,yes,email,13,may,951,3,370,4,failure,no
55,education,married,secondary,no,1102,yes,no,unknown,15,may,126,2,-1,0,unknown,yes
31,construction,single,secondary,no,1094,yes,no,unknown,12,jun,93,8,-1,0,unknown,yes
57,management,married,tertiary,no,0,yes,no,email,21,nov,67,1,-1,0,unknown,yes
59,retired,divorced,secondary,no,1026,no,no,unknown,5,nov,669,1,-1,0,unknown,no
48,education,married,secondary,no,292,yes,yes,email,29,jul,164,6,-1,0,unknown,yes
54,education,married,secondary,no,0,no,no,email,28,jan,161,1,98,2,failure,no
38,management,married,tertiary,no,3436,no,no,email,21,nov,663,4,-1,0,unknown,no
24,services,married,tertiary,no,0,yes,no,unknown,27,may,299,1,-1,0,unknown,yes
38,unknown,single,tertiary,no,0,no,no,email,11,sep,260,3,95,3,success,no
36,services,married,secondary,no,1746,yes,no,unknown,26,may,99,1,-1,0,unknown,yes
30,construction,married,secondary,no,-393,yes,yes,email,16,jul,435,1,-1,0,unknown,no
51,services,divorced,secondary,no,518,yes,no,phone,17,nov,76,1,-1,0,unknown,yes
32,services,married,primary,no,228,yes,no,email,21,jul,1017,6,-1,0,unknown,no
38,education,married,secondary,no,46,yes,yes,unknown,6,may,195,1,-1,0,unknown,yes
42,services,divorced,secondary,no,257,yes,no,email,12,may,955,2,-1,0,unknown,no
46,tech,married,secondary,no,668,yes,no,unknown,15,may,1263,2,-1,0,unknown,no
55,tech,single,primary,no,1187,yes,no,unknown,2,jun,193,2,-1,0,unknown,yes
50,entrepreneur,divorced,tertiary,no,1790,no,yes,email,6,feb,748,3,-1,0,unknown,yes
42,tech,married,primary,no,969,yes,no,email,13,may,721,1,-1,0,unknown,yes
48,retail,married,primary,no,7195,no,no,email,21,nov,609,2,-1,0,unknown,no
40,tech,married,secondary,no,440,yes,no,unknown,5,jun,327,2,-1,0,unknown,yes
33,management,married,tertiary,no,2098,no,no,email,20,nov,67,1,-1,0,unknown,yes
55,management,divorced,tertiary,no,9756,yes,no,email,5,jun,103,2,95,1,other,no
60,management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,yes
37,entrepreneur,divorced,tertiary,no,66,no,no,email,18,nov,1164,2,-1,0,unknown,no
52,entrepreneur,married,primary,no,592,no,no,email,21,jul,122,2,-1,0,unknown,yes
34,entrepreneur,married,tertiary,no,-28,yes,no,email,16,jul,574,1,-1,0,unknown,yes
62,management,married,tertiary,no,1859,no,no,phone,6,aug,245,3,-1,0,unknown,no
33,education,married,tertiary,no,79,yes,no,email,22,oct,249,2,335,2,failure,no
49,services,married,secondary,no,47,no,no,unknown,5,may,234,2,-1,0,unknown,yes
41,tech,married,secondary,no,442,yes,no,email,12,may,463,1,-1,0,unknown,yes
47,construction,married,secondary,no,1219,no,no,email,18,aug,697,4,-1,0,unknown,no
32,construction,single,secondary,no,230,yes,no,email,18,may,442,1,266,8,failure,no
47,construction,married,secondary,no,2246,yes,no,email,10,jul,330,1,-1,0,unknown,yes
41,education,married,secondary,no,0,no,no,unknown,20,jun,89,1,-1,0,unknown,yes
37,management,married,tertiary,no,238,no,no,email,3,feb,185,1,92,1,success,no
36,tech,married,primary,no,1925,yes,no,email,20,apr,904,2,-1,0,unknown,no
27,construction,single,secondary,no,158,no,no,unknown,1,jul,650,2,-1,0,unknown,no
60,management,divorced,tertiary,no,366,no,no,email,3,jun,593,1,-1,0,unknown,no
29,services,divorced,secondary,no,92,yes,no,email,7,may,240,1,-1,0,unknown,yes
60,tech,married,primary,no,493,no,no,email,18,aug,671,4,-1,0,unknown,no
32,management,divorced,tertiary,no,874,no,no,email,12,aug,1282,6,-1,0,unknown,no
56,retired,married,secondary,no,1044,no,no,phone,3,jul,353,2,-1,0,unknown,no
36,management,divorced,tertiary,no,649,no,no,email,16,jul,237,2,91,1,failure,yes
33,education,married,secondary,no,-6,yes,no,unknown,7,may,566,2,-1,0,unknown,yes
42,construction,married,secondary,no,440,yes,no,email,3,feb,13,5,-1,0,unknown,yes
74,retired,married,secondary,no,921,no,no,phone,17,apr,394,2,-1,0,unknown,no
43,tech,married,secondary,no,699,yes,yes,email,20,nov,1258,2,122,2,other,no
32,tech,married,secondary,no,889,yes,no,email,10,sep,185,1,99,5,success,no
49,education,married,secondary,no,3608,yes,no,unknown,13,nov,231,1,-1,0,unknown,no
52,management,married,tertiary,no,-11,yes,no,email,11,may,94,4,-1,0,unknown,yes
40,management,married,tertiary,no,0,no,no,email,14,jul,109,8,-1,0,unknown,yes
75,retired,divorced,secondary,no,1341,no,no,email,18,dec,415,7,-1,0,unknown,no
46,construction,divorced,secondary,no,-824,yes,no,email,7,aug,429,3,-1,0,unknown,no
44,tech,married,secondary,no,-182,yes,yes,email,14,may,10,10,-1,0,unknown,yes
53,unemployed,married,secondary,no,94,no,no,email,10,aug,493,1,181,14,success,no
34,management,single,tertiary,no,5086,no,no,email,25,may,213,4,-1,0,unknown,no
34,education,single,primary,no,0,yes,yes,email,6,may,172,4,-1,0,unknown,yes
59,tech,married,primary,no,748,no,no,unknown,29,may,184,1,-1,0,unknown,yes
28,tech,married,secondary,no,2788,yes,no,unknown,6,jun,369,2,-1,0,unknown,no
33,construction,single,tertiary,no,123,no,no,email,19,aug,264,1,-1,0,unknown,yes
32,management,married,tertiary,no,138,no,no,email,20,aug,94,4,-1,0,unknown,yes
74,retired,married,secondary,no,935,no,no,email,26,jan,100,1,104,1,other,yes
27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown,no
33,services,married,secondary,no,478,no,no,email,30,apr,475,2,-1,0,unknown,no
41,management,married,tertiary,no,72,yes,no,unknown,7,may,764,3,-1,0,unknown,yes
33,tech,married,secondary,no,137,no,yes,email,18,jul,305,12,-1,0,unknown,yes
54,construction,married,secondary,no,0,no,no,phone,14,aug,159,2,106,6,success,yes
35,services,married,secondary,no,181,yes,no,email,31,jul,5,3,-1,0,unknown,yes
27,management,single,tertiary,no,446,no,no,email,23,jun,204,3,-1,0,unknown,yes
52,construction,divorced,secondary,no,204,no,no,email,7,aug,134,2,-1,0,unknown,yes
43,management,married,tertiary,no,2886,no,no,email,20,nov,230,1,-1,0,unknown,yes
34,tech,divorced,unknown,no,172,no,no,email,15,jun,177,1,-1,0,unknown,no
77,retired,married,tertiary,no,0,no,no,email,16,oct,847,1,60,1,success,no
50,tech,married,primary,no,3924,yes,no,email,20,apr,122,2,-1,0,unknown,yes
62,self-employed,divorced,tertiary,no,6,yes,no,email,13,oct,216,1,183,4,success,no
31,unemployed,married,secondary,no,296,yes,no,unknown,20,may,378,3,-1,0,unknown,yes
51,construction,married,secondary,no,117,no,no,email,24,aug,467,2,88,4,other,no
49,tech,married,primary,no,371,yes,no,email,31,jul,18,44,-1,0,unknown,yes
53,construction,married,secondary,no,100,no,no,email,13,aug,205,4,-1,0,unknown,yes
22,student,single,secondary,no,2488,no,no,email,8,nov,449,2,38,10,other,no
34,management,single,tertiary,no,2646,no,no,email,14,apr,142,1,-1,0,unknown,no
54,construction,married,tertiary,no,876,no,no,email,27,oct,269,3,541,3,success,no
80,retail,married,primary,no,0,no,no,email,23,feb,639,1,189,1,failure,no
46,services,married,secondary,no,4,no,no,email,30,apr,268,1,261,5,other,no
59,retired,married,secondary,no,0,no,no,unknown,5,jun,812,1,-1,0,unknown,no
51,tech,married,primary,no,-11,no,no,phone,16,jul,126,4,-1,0,unknown,yes
46,management,divorced,secondary,no,361,yes,no,unknown,19,may,86,7,-1,0,unknown,yes
35,construction,married,tertiary,no,188,no,no,email,26,aug,286,2,-1,0,unknown,yes
33,construction,single,secondary,no,2085,no,no,email,9,feb,501,2,-1,0,unknown,no
36,management,single,tertiary,no,613,no,no,email,7,aug,86,2,-1,0,unknown,yes
32,tech,single,secondary,no,33,yes,no,email,18,may,125,1,368,4,failure,yes
32,tech,married,secondary,no,2089,yes,no,email,14,nov,132,1,-1,0,unknown,no
49,tech,single,primary,no,2146,yes,no,email,7,may,1516,2,353,2,other,no
34,education,married,secondary,no,244,yes,no,email,31,jul,56,4,-1,0,unknown,yes
41,tech,divorced,primary,no,664,no,yes,email,15,jul,955,5,-1,0,unknown,no
32,tech,married,secondary,no,1005,no,no,email,12,may,215,1,-1,0,unknown,yes
41,education,single,secondary,no,1020,yes,no,unknown,19,may,882,1,-1,0,unknown,no
77,retired,married,tertiary,no,7802,no,no,phone,4,may,421,1,92,2,success,no
32,management,single,tertiary,no,646,yes,yes,email,20,apr,148,2,-1,0,unknown,yes
59,management,married,secondary,no,42,no,no,email,21,nov,40,1,-1,0,unknown,yes
33,self-employed,married,secondary,no,215,yes,no,email,29,jul,543,12,-1,0,unknown,yes
37,construction,single,secondary,no,3665,no,no,email,12,aug,664,3,-1,0,unknown,no
41,student,married,secondary,no,1309,no,no,unknown,20,jun,28,4,-1,0,unknown,yes
33,tech,married,primary,no,511,yes,no,unknown,21,may,304,2,-1,0,unknown,yes
32,construction,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,yes
38,education,married,tertiary,no,1988,no,no,email,27,mar,164,2,130,2,failure,no
32,services,single,secondary,no,152,yes,no,email,25,may,158,2,-1,0,unknown,no
40,management,married,tertiary,no,60,no,no,unknown,16,jun,172,6,-1,0,unknown,yes
31,management,married,tertiary,no,623,yes,no,email,13,may,96,2,349,5,failure,yes
55,retail,married,secondary,no,139,no,no,email,22,aug,256,2,-1,0,unknown,yes
38,retail,married,primary,no,21,no,no,email,26,aug,634,2,-1,0,unknown,yes
33,management,single,tertiary,no,349,no,no,email,22,aug,182,1,-1,0,unknown,yes
38,construction,married,tertiary,no,1042,yes,no,email,4,feb,419,2,-1,0,unknown,yes
27,management,married,tertiary,no,802,no,no,email,22,sep,569,1,-1,0,unknown,no
28,tech,married,secondary,no,373,yes,no,email,14,may,10,9,344,1,failure,yes
58,retired,married,primary,no,565,no,no,phone,7,jul,876,1,-1,0,unknown,no
78,retail,married,secondary,no,499,no,no,phone,16,mar,80,4,-1,0,unknown,yes
33,construction,married,secondary,no,133,no,no,email,4,may,218,1,-1,0,unknown,no
34,education,single,tertiary,no,18,yes,yes,email,30,apr,359,1,-1,0,unknown,no
37,tech,married,primary,no,543,yes,no,unknown,21,may,281,1,-1,0,unknown,yes
33,management,married,tertiary,no,287,yes,no,email,15,may,199,2,274,3,other,yes
47,education,married,secondary,no,3676,no,no,email,18,oct,567,1,95,3,success,no
30,services,married,secondary,no,0,yes,no,unknown,9,may,20,1,-1,0,unknown,yes
33,tech,single,secondary,no,13494,yes,no,unknown,20,jun,27,25,-1,0,unknown,yes
53,services,divorced,secondary,no,0,no,no,email,12,mar,80,2,-1,0,unknown,no
19,student,single,primary,no,103,no,no,email,10,jul,104,2,-1,0,unknown,no
37,management,married,primary,no,3953,yes,no,email,6,apr,610,2,138,1,failure,yes
45,management,divorced,tertiary,no,2096,no,no,email,21,nov,127,1,100,2,failure,yes
41,construction,single,tertiary,no,1646,yes,no,email,4,feb,261,1,184,6,success,no
38,tech,married,secondary,no,284,yes,yes,unknown,3,jun,1030,6,-1,0,unknown,yes
32,management,married,tertiary,no,0,no,no,email,26,aug,104,9,-1,0,unknown,yes
55,education,married,secondary,no,602,no,no,email,1,jun,324,3,90,2,success,no
27,construction,single,secondary,no,489,yes,no,email,30,jul,356,4,-1,0,unknown,no
52,construction,married,secondary,no,1781,yes,no,unknown,19,may,144,2,-1,0,unknown,yes
32,management,single,tertiary,no,656,yes,yes,email,20,apr,148,2,-1,0,unknown,yes
38,entrepreneur,married,secondary,no,493,yes,yes,email,24,jul,1484,24,-1,0,unknown,no
58,management,married,tertiary,no,9339,yes,no,phone,18,nov,52,3,172,3,other,yes
49,retail,married,primary,no,889,no,no,phone,7,jul,388,1,-1,0,unknown,no
42,management,married,primary,no,-679,yes,yes,email,6,may,159,1,343,2,failure,yes
40,services,single,secondary,no,72,no,no,unknown,8,may,141,2,-1,0,unknown,yes
35,construction,single,secondary,no,450,yes,no,email,13,may,63,1,-1,0,unknown,yes
49,management,divorced,tertiary,no,755,no,no,email,31,jul,1212,4,-1,0,unknown,no
43,management,single,secondary,no,-228,yes,yes,unknown,16,may,122,2,-1,0,unknown,yes
28,entrepreneur,married,unknown,no,1034,no,no,email,29,jan,113,1,-1,0,unknown,yes
59,retired,divorced,secondary,no,5845,no,no,email,14,may,1060,2,-1,0,unknown,no
36,construction,single,secondary,yes,12,no,no,email,12,aug,587,2,-1,0,unknown,no
31,tech,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,no
45,management,married,tertiary,no,3370,no,no,unknown,12,jun,36,3,-1,0,unknown,yes
26,services,single,secondary,no,1347,no,no,phone,18,jun,280,6,92,5,other,no
29,services,divorced,secondary,no,84,yes,no,email,13,apr,1101,2,-1,0,unknown,no
40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown,yes
36,services,single,secondary,no,760,no,no,unknown,20,jun,9,13,-1,0,unknown,yes
30,tech,married,secondary,no,501,yes,yes,unknown,27,may,514,1,-1,0,unknown,yes
33,education,married,secondary,no,95,yes,no,email,30,apr,335,1,-1,0,unknown,no
32,construction,single,secondary,no,0,no,no,email,21,aug,126,2,-1,0,unknown,yes
46,education,married,secondary,no,44,no,no,unknown,4,may,1467,1,-1,0,unknown,no
43,management,single,tertiary,no,1696,yes,no,email,26,aug,257,1,474,3,failure,no
31,unemployed,single,primary,no,406,no,no,email,4,feb,736,1,-1,0,unknown,no
41,management,married,secondary,no,0,no,yes,email,7,jul,630,3,-1,0,unknown,yes
47,services,married,secondary,no,3333,yes,yes,email,29,jul,114,2,-1,0,unknown,yes
28,tech,single,secondary,no,-46,yes,no,email,1,sep,199,1,92,14,success,no
47,self-employed,married,tertiary,no,4543,yes,no,unknown,14,may,162,1,-1,0,unknown,yes
48,retired,single,primary,no,6470,no,no,email,21,jul,106,3,-1,0,unknown,yes
43,management,married,tertiary,no,1429,yes,no,email,19,nov,1014,1,198,2,other,no
53,retired,married,secondary,no,665,yes,no,email,22,apr,371,2,-1,0,unknown,no
48,education,married,secondary,no,191,yes,no,email,5,feb,238,3,-1,0,unknown,yes
31,management,married,tertiary,no,430,yes,no,email,25,jul,137,16,-1,0,unknown,yes
48,management,divorced,tertiary,no,541,yes,no,email,14,may,72,1,363,2,other,yes
26,education,single,secondary,no,255,no,no,email,30,apr,457,1,80,1,success,no
33,management,married,tertiary,no,1064,yes,no,email,13,may,562,1,-1,0,unknown,no
37,services,single,tertiary,no,223,yes,no,unknown,28,may,25,1,-1,0,unknown,yes
44,construction,divorced,secondary,no,14,no,no,email,13,nov,167,1,92,1,success,no
46,management,married,tertiary,no,1008,no,no,email,29,aug,24,13,-1,0,unknown,yes
33,self-employed,single,tertiary,no,61,no,no,email,19,aug,836,3,-1,0,unknown,no
32,student,single,tertiary,no,0,no,no,email,6,aug,101,5,3,6,other,yes
59,services,married,secondary,no,0,yes,no,email,12,may,214,3,-1,0,unknown,yes
29,construction,single,tertiary,no,2325,no,no,email,2,feb,125,1,-1,0,unknown,no
32,management,single,tertiary,no,311,no,no,unknown,12,may,747,2,-1,0,unknown,no
35,retail,married,primary,no,0,yes,no,email,14,jul,340,3,-1,0,unknown,yes
46,construction,married,secondary,no,57,no,no,unknown,28,may,796,1,-1,0,unknown,no
32,tech,married,secondary,no,759,yes,no,email,9,apr,317,5,-1,0,unknown,no
58,construction,married,secondary,no,175,no,no,email,12,aug,92,4,-1,0,unknown,yes
38,services,single,secondary,no,2253,yes,no,email,13,may,937,3,-1,0,unknown,no
29,tech,single,secondary,no,482,no,yes,email,10,jul,1097,3,-1,0,unknown,no
